DepCode;age_group;Year;p_FIRESP
13;18-64;2022;0,001093194861984149
13;18-64;2023;0,001373626373626374
13;18-64;2024;0,001795332136445242
13;65-79;2017;0,003783102143757881
13;65-79;2018;0,001206272617611580
13;65-79;2021;0,000976562500000000
13;65-79;2024;0,000792393026941363
13;80+;2017;0,000714796283059328
13;80+;2019;0,001436781609195402
13;80+;2020;0,000573065902578797
13;80+;2022;0,000775494377665762
13;80+;2023;0,000460193281178095
13;80+;2024;0,000467508181393174
14;0-1;2017;0,000458295142071494
14;0-1;2019;0,000390930414386239
14;0-1;2022;0,000283929585462805
14;2-4;2022;0,001209189842805320
14;5-17;2018;0,002061855670103093
14;18-64;2021;0,000358166189111748
14;18-64;2025;0,001028806584362140
14;65-79;2022;0,000578703703703704
14;80+;2020;0,000573065902578797
15;0-1;2017;0,000458295142071494
15;0-1;2023;0,000388500388500389
15;5-17;2022;0,002288329519450801
15;18-64;2018;0,001359619306594154
15;80+;2024;0,000467508181393174
16;18-64;2019;0,000829875518672199
17;0-1;2017;0,000458295142071494
17;0-1;2024;0,000390930414386239
17;18-64;2018;0,000679809653297077
17;18-64;2022;0,000273298715496037
17;18-64;2025;0,001028806584362140
17;65-79;2025;0,002493765586034913
17;80+;2023;0,000460193281178095
17;80+;2025;0,001250000000000000
18;0-1;2018;0,000394944707740916
18;0-1;2019;0,000390930414386239
18;0-1;2021;0,000328299409061064
18;0-1;2023;0,000388500388500389
18;18-64;2021;0,000358166189111748
18;18-64;2024;0,000448833034111311
18;65-79;2018;0,001206272617611580
18;65-79;2019;0,001283697047496791
18;80+;2025;0,001250000000000000
19;0-1;2019;0,000390930414386239
19;0-1;2022;0,000283929585462805
19;0-1;2024;0,001563721657544957
19;5-17;2022;0,001144164759725400
19;18-64;2021;0,000358166189111748
19;65-79;2023;0,000804505229283990
19;80+;2022;0,000387747188832881
20;65-79;2017;0,001261034047919294
20;65-79;2024;0,000792393026941363
20;80+;2024;0,000467508181393174
21;0-1;2016;0,000861326442721792
21;0-1;2019;0,000781860828772478
21;0-1;2022;0,000283929585462805
21;2-4;2020;0,001862197392923650
21;2-4;2022;0,001209189842805320
21;2-4;2025;0,003846153846153846
21;18-64;2018;0,000679809653297077
21;18-64;2021;0,000358166189111748
21;18-64;2022;0,000273298715496037
21;18-64;2023;0,002289377289377289
21;18-64;2024;0,000448833034111311
21;65-79;2017;0,001261034047919294
21;65-79;2022;0,001736111111111111
21;80+;2022;0,000387747188832881
22;0-1;2020;0,000727802037845706
22;0-1;2021;0,000328299409061064
22;18-64;2023;0,000457875457875458
22;80+;2023;0,000920386562356190
23;18-64;2022;0,000273298715496037
23;65-79;2023;0,000804505229283990
24;0-1;2021;0,000328299409061064
24;2-4;2018;0,001557632398753894
24;2-4;2024;0,001751313485113835
25;0-1;2016;0,000861326442721792
25;0-1;2017;0,000916590284142988
25;0-1;2018;0,000394944707740916
25;0-1;2019;0,000781860828772478
25;0-1;2023;0,000388500388500389
25;0-1;2024;0,001172791243158718
25;5-17;2017;0,003731343283582089
25;18-64;2019;0,002489626556016597
25;18-64;2020;0,000690607734806630
25;18-64;2022;0,001093194861984149
25;18-64;2023;0,000457875457875458
25;18-64;2024;0,000448833034111311
25;65-79;2020;0,000874125874125874
25;65-79;2022;0,000578703703703704
25;65-79;2025;0,002493765586034913
26;0-1;2016;0,002583979328165375
26;0-1;2017;0,003208065994500459
26;0-1;2018;0,003949447077409162
26;0-1;2019;0,001954652071931196
26;0-1;2020;0,005094614264919942
26;0-1;2021;0,001969796454366382
26;0-1;2022;0,001703577512776831
26;0-1;2023;0,002331002331002331
26;0-1;2024;0,001954652071931196
26;0-1;2025;0,001245330012453300
26;2-4;2017;0,002304147465437788
26;2-4;2019;0,003430531732418525
26;2-4;2020;0,007448789571694600
26;2-4;2021;0,004201680672268907
26;2-4;2022;0,006045949214026602
26;2-4;2023;0,009487666034155597
26;2-4;2024;0,001751313485113835
26;5-17;2018;0,002061855670103093
26;5-17;2019;0,008179959100204500
26;5-17;2020;0,004566210045662100
26;5-17;2021;0,003937007874015748
26;5-17;2023;0,004120879120879121
26;5-17;2024;0,005662514156285390
26;5-17;2025;0,002544529262086514
26;18-64;2016;0,002032520325203252
26;18-64;2017;0,005887300252312868
26;18-64;2018;0,002039428959891231
26;18-64;2019;0,000829875518672199
26;18-64;2020;0,003798342541436464
26;18-64;2021;0,001790830945558739
26;18-64;2022;0,002459688439464335
26;18-64;2023;0,002747252747252747
26;18-64;2024;0,001346499102333932
26;18-64;2025;0,001028806584362140
26;65-79;2016;0,003448275862068965
26;65-79;2017;0,002522068095838588
26;65-79;2018;0,001206272617611580
26;65-79;2019;0,002567394094993581
26;65-79;2020;0,000874125874125874
26;65-79;2021;0,001953125000000000
26;65-79;2022;0,002893518518518518
26;65-79;2023;0,000804505229283990
26;65-79;2024;0,000792393026941363
26;65-79;2025;0,002493765586034913
26;80+;2016;0,001992031872509960
26;80+;2018;0,000751314800901578
26;80+;2020;0,000573065902578797
26;80+;2021;0,001610305958132045
26;80+;2022;0,001550988755331524
26;80+;2024;0,001402524544179523
26;80+;2025;0,001250000000000000
27;0-1;2019;0,000390930414386239
27;18-64;2017;0,000841042893187553
27;18-64;2020;0,000345303867403315
27;18-64;2022;0,000273298715496037
27;18-64;2024;0,000448833034111311
27;65-79;2019;0,001283697047496791
27;65-79;2022;0,000578703703703704
28;18-64;2018;0,000679809653297077
28;18-64;2022;0,000273298715496037
29;0-1;2018;0,000394944707740916
29;0-1;2021;0,000656598818122127
29;0-1;2022;0,000283929585462805
29;2-4;2023;0,001897533206831120
29;5-17;2019;0,002044989775051125
29;5-17;2020;0,001522070015220700
