"annee";"CP_clean";"age_class";"N_RPU";"N_HCL";"part_HCL"
2019;"01230";"[0,1]";"Anonymisé";"1-4";0.0285714285714286
2019;"01230";"(1,4]";"Anonymisé";"1-4";0.0422535211267606
2019;"01230";"(4,17]";"279";"7";0.025089605734767
2019;"01230";"(17,64]";"833";"23";0.0276110444177671
2019;"01230";"(64,79]";"Anonymisé";"1-4";0.00462962962962963
2019;"01230";"(79,Inf]";"Anonymisé";"1-4";0.00374531835205993
2019;"01230";NA;"0";"0";NA
2019;"01240";"[0,1]";"Anonymisé";"1-4";0.0202020202020202
2019;"01240";"(1,4]";"Anonymisé";"1-4";0.0101010101010101
2019;"01240";"(4,17]";"Anonymisé";"1-4";0.00956937799043062
2019;"01240";"(17,64]";"1219";"15";0.0123051681706317
2019;"01240";"(64,79]";"254";"6";0.0236220472440945
2019;"01240";"(79,Inf]";"Anonymisé";"1-4";0.00429184549356223
2019;"01240";NA;"0";"0";NA
2019;"01250";"[0,1]";"Anonymisé";"1-4";0.0198019801980198
2019;"01250";"(1,4]";"Anonymisé";"1-4";0.00546448087431694
2019;"01250";"(4,17]";"1086";"5";0.00460405156537753
2019;"01250";"(17,64]";"2645";"18";0.00680529300567108
2019;"01250";"(64,79]";"Anonymisé";"1-4";0.00440528634361234
2019;"01250";"(79,Inf]";"Anonymisé";"1-4";0.00182149362477231
2019;"01250";NA;"0";"0";NA
2019;"01260";"[0,1]";"53";"0";0
2019;"01260";"(1,4]";"Anonymisé";"1-4";0.0740740740740741
2019;"01260";"(4,17]";"Anonymisé";"1-4";0.0147058823529412
2019;"01260";"(17,64]";"Anonymisé";"1-4";0.00700934579439252
2019;"01260";"(64,79]";"186";"0";0
2019;"01260";"(79,Inf]";"213";"0";0
2019;"01260";NA;"0";"0";NA
2019;"01270";"[0,1]";"33";"0";0
2019;"01270";"(1,4]";"Anonymisé";"1-4";0.0222222222222222
2019;"01270";"(4,17]";"Anonymisé";"1-4";0.00444444444444444
2019;"01270";"(17,64]";"Anonymisé";"1-4";0.00553505535055351
2019;"01270";"(64,79]";"171";"0";0
2019;"01270";"(79,Inf]";"186";"0";0
2019;"01270";NA;"0";"0";NA
2019;"01280";"[0,1]";"Anonymisé";"1-4";0.00980392156862745
2019;"01280";"(1,4]";"83";"0";0
2019;"01280";"(4,17]";"Anonymisé";"1-4";0.00609756097560976
2019;"01280";"(17,64]";"Anonymisé";"1-4";0.00519031141868512
2019;"01280";"(64,79]";"84";"0";0
2019;"01280";"(79,Inf]";"50";"0";0
2019;"01280";NA;"0";"0";NA
2019;"01290";"[0,1]";"24";"0";0
2019;"01290";"(1,4]";"16";"0";0
2019;"01290";"(4,17]";"Anonymisé";"1-4";0.0185185185185185
2019;"01290";"(17,64]";"203";"13";0.0640394088669951
2019;"01290";"(64,79]";"Anonymisé";"1-4";0.0645161290322581
2019;"01290";"(79,Inf]";"Anonymisé";"1-4";0.111111111111111
2019;"01290";NA;"0";"0";NA
2019;"01300";"[0,1]";"Anonymisé";"1-4";0.00403225806451613
2019;"01300";"(1,4]";"Anonymisé";"1-4";0.00434782608695652
2019;"01300";"(4,17]";"1419";"12";0.00845665961945032
2019;"01300";"(17,64]";"3862";"19";0.00491973070947696
2019;"01300";"(64,79]";"Anonymisé";"1-4";0.002002002002002
2019;"01300";"(79,Inf]";"Anonymisé";"1-4";0.00112739571589628
2019;"01300";NA;"0";"0";NA
2019;"01310";"[0,1]";"89";"0";0
2019;"01310";"(1,4]";"Anonymisé";"1-4";0.00840336134453781
2019;"01310";"(4,17]";"Anonymisé";"1-4";0.00221729490022173
2019;"01310";"(17,64]";"1411";"10";0.0070871722182849
2019;"01310";"(64,79]";"Anonymisé";"1-4";0.00292397660818713
2019;"01310";"(79,Inf]";"Anonymisé";"1-4";0.00993377483443709
2019;"01310";NA;"0";"0";NA
2019;"01320";"[0,1]";"Anonymisé";"1-4";0.028169014084507
2019;"01320";"(1,4]";"Anonymisé";"1-4";0.0136986301369863
2019;"01320";"(4,17]";"306";"7";0.0228758169934641
2019;"01320";"(17,64]";"966";"19";0.0196687370600414
2019;"01320";"(64,79]";"Anonymisé";"1-4";0.00526315789473684
2019;"01320";"(79,Inf]";"Anonymisé";"1-4";0.0109289617486339
2019;"01320";NA;"0";"0";NA
2019;"01330";"[0,1]";"166";"11";0.0662650602409639
2019;"01330";"(1,4]";"105";"7";0.0666666666666667
2019;"01330";"(4,17]";"359";"7";0.0194986072423398
2019;"01330";"(17,64]";"1158";"54";0.0466321243523316
2019;"01330";"(64,79]";"229";"10";0.0436681222707424
2019;"01330";"(79,Inf]";"311";"7";0.022508038585209
2019;"01330";NA;"0";"0";NA
2019;"01340";"[0,1]";"Anonymisé";"1-4";0.0115606936416185
2019;"01340";"(1,4]";"145";"0";0
2019;"01340";"(4,17]";"Anonymisé";"1-4";0.00488400488400488
2019;"01340";"(17,64]";"2048";"13";0.00634765625
2019;"01340";"(64,79]";"Anonymisé";"1-4";0.0040650406504065
2019;"01340";"(79,Inf]";"465";"0";0
2019;"01340";NA;"0";"0";NA
2019;"01350";"[0,1]";"Anonymisé";"1-4";0.0149253731343284
2019;"01350";"(1,4]";"113";"0";0
2019;"01350";"(4,17]";"Anonymisé";"1-4";0.00783289817232376
2019;"01350";"(17,64]";"Anonymisé";"1-4";0.00194741966893866
2019;"01350";"(64,79]";"Anonymisé";"1-4";0.0045045045045045
2019;"01350";"(79,Inf]";"185";"0";0
2019;"01350";NA;"0";"0";NA
2019;"01360";"[0,1]";"131";"50";0.381679389312977
2019;"01360";"(1,4]";"154";"57";0.37012987012987
2019;"01360";"(4,17]";"449";"110";0.244988864142539
2019;"01360";"(17,64]";"1304";"189";0.144938650306748
2019;"01360";"(64,79]";"243";"51";0.209876543209877
2019;"01360";"(79,Inf]";"196";"70";0.357142857142857
2019;"01360";NA;"0";"0";NA
2019;"01370";"[0,1]";"74";"0";0
2019;"01370";"(1,4]";"57";"0";0
2019;"01370";"(4,17]";"479";"0";0
2019;"01370";"(17,64]";"1155";"6";0.00519480519480519
2019;"01370";"(64,79]";"Anonymisé";"1-4";0.011070110701107
2019;"01370";"(79,Inf]";"Anonymisé";"1-4";0.00632911392405063
2019;"01370";NA;"0";"0";NA
2019;"01380";"[0,1]";"29";"0";0
2019;"01380";"(1,4]";"Anonymisé";"1-4";0.0333333333333333
2019;"01380";"(4,17]";"Anonymisé";"1-4";0.0114942528735632
2019;"01380";"(17,64]";"198";"9";0.0454545454545455
2019;"01380";"(64,79]";"Anonymisé";"1-4";0.025
2019;"01380";"(79,Inf]";"18";"0";0
2019;"01380";NA;"0";"0";NA
2019;"01390";"[0,1]";"189";"29";0.153439153439153
2019;"01390";"(1,4]";"141";"15";0.106382978723404
2019;"01390";"(4,17]";"550";"67";0.121818181818182
2019;"01390";"(17,64]";"1524";"193";0.126640419947507
2019;"01390";"(64,79]";"321";"53";0.165109034267913
2019;"01390";"(79,Inf]";"247";"60";0.242914979757085
2019;"01390";NA;"0";"0";NA
2019;"01400";"[0,1]";"Anonymisé";"1-4";0.016
2019;"01400";"(1,4]";"120";"0";0
2019;"01400";"(4,17]";"492";"6";0.0121951219512195
2019;"01400";"(17,64]";"1348";"19";0.0140949554896142
2019;"01400";"(64,79]";"Anonymisé";"1-4";0.00246913580246914
2019;"01400";"(79,Inf]";"Anonymisé";"1-4";0.00517241379310345
2019;"01400";NA;"0";"0";NA
2019;"01410";"[0,1]";"13";"0";0
2019;"01410";"(1,4]";"10";"0";0
2019;"01410";"(4,17]";"26";"0";0
2019;"01410";"(17,64]";"Anonymisé";"1-4";0.0108695652173913
2019;"01410";"(64,79]";"29";"0";0
2019;"01410";"(79,Inf]";"43";"0";0
2019;"01410";NA;"0";"0";NA
2019;"01420";"[0,1]";"40";"0";0
2019;"01420";"(1,4]";"Anonymisé";"1-4";0.05
2019;"01420";"(4,17]";"138";"0";0
2019;"01420";"(17,64]";"398";"0";0
2019;"01420";"(64,79]";"98";"0";0
2019;"01420";"(79,Inf]";"Anonymisé";"1-4";0.0101010101010101
2019;"01420";NA;"0";"0";NA
2019;"01430";"[0,1]";"31";"0";0
2019;"01430";"(1,4]";"35";"0";0
2019;"01430";"(4,17]";"Anonymisé";"1-4";0.00675675675675676
2019;"01430";"(17,64]";"591";"7";0.011844331641286
2019;"01430";"(64,79]";"Anonymisé";"1-4";0.00854700854700855
2019;"01430";"(79,Inf]";"75";"0";0
2019;"01430";NA;"0";"0";NA
2019;"01440";"[0,1]";"85";"0";0
2019;"01440";"(1,4]";"78";"0";0
2019;"01440";"(4,17]";"521";"0";0
2019;"01440";"(17,64]";"1100";"10";0.00909090909090909
2019;"01440";"(64,79]";"265";"0";0
2019;"01440";"(79,Inf]";"Anonymisé";"1-4";0.00440528634361234
2019;"01440";NA;"0";"0";NA
2019;"01450";"[0,1]";"39";"0";0
2019;"01450";"(1,4]";"47";"0";0
2019;"01450";"(4,17]";"Anonymisé";"1-4";0.00540540540540541
2019;"01450";"(17,64]";"534";"13";0.0243445692883895
