RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
01;971;65-79;2023;11;0;64219,00000000000;0,000000000000000000;0,0000000000000
01;971;65-79;2024;15;0;67016,00000000000;0,000000000000000000;0,0000000000000
01;971;80+;2019;2;0;19956,00000000000;0,000000000000000000;0,0000000000000
01;971;80+;2020;1;0;20355,00000000000;0,000000000000000000;0,0000000000000
01;971;80+;2021;2;0;20678,00000000000;0,000000000000000000;0,0000000000000
01;971;80+;2022;2;0;21001,00000000000;0,000000000000000000;0,0000000000000
01;971;80+;2023;2;0;21414,00000000000;0,000000000000000000;0,0000000000000
01;971;80+;2024;7;0;21925,00000000000;0,000000000000000000;0,0000000000000
01;971;NA;2019;0;0;NA;NA;NA
01;971;NA;2020;0;0;NA;NA;NA
01;971;NA;2021;0;0;NA;NA;NA
01;971;NA;2022;0;0;NA;NA;NA
01;971;NA;2023;0;0;NA;NA;NA
01;971;NA;2024;0;0;NA;NA;NA
02;972;0-1;2019;0;0;6450,27660107041;NA;NA
02;972;0-1;2020;1;0;6401,23284298093;0,000000000000000000;0,0000000000000
02;972;0-1;2021;3;0;6301,11910703742;0,000000000000000000;0,0000000000000
02;972;0-1;2022;3;0;6247,18676753903;0,000000000000000000;0,0000000000000
02;972;0-1;2023;1;0;6168,37906977091;0,000000000000000000;0,0000000000000
02;972;0-1;2024;1;0;5879,18586271489;0,000000000000000000;0,0000000000000
02;972;2-4;2019;2;0;10355,72339892959;0,000000000000000000;0,0000000000000
02;972;2-4;2020;0;0;10166,76715701907;NA;NA
02;972;2-4;2021;7;0;9975,88089296258;0,000000000000000000;0,0000000000000
02;972;2-4;2022;4;0;9836,81323246097;0,000000000000000000;0,0000000000000
02;972;2-4;2023;2;0;9685,62093022909;0,000000000000000000;0,0000000000000
02;972;2-4;2024;1;0;9622,81413728511;0,000000000000000000;0,0000000000000
02;972;5-17;2019;10;0;55937,77275486565;0,000000000000000000;0,0000000000000
02;972;5-17;2020;3;0;54035,19986896764;0,000000000000000000;0,0000000000000
02;972;5-17;2021;16;0;53135,11325350672;0,000000000000000000;0,0000000000000
02;972;5-17;2022;9;0;52378,87242183219;0,000000000000000000;0,0000000000000
02;972;5-17;2023;5;0;51406,78785060992;0,000000000000000000;0,0000000000000
02;972;5-17;2024;4;0;50617,49361540138;0,000000000000000000;0,0000000000000
02;972;18-64;2019;9;0;214611,22724513436;0,000000000000000000;0,0000000000000
02;972;18-64;2020;17;0;211554,80013103236;0,000000000000000000;0,0000000000000
02;972;18-64;2021;13;0;209987,88674649328;0,000000000000000000;0,0000000000000
02;972;18-64;2022;34;5;208574,12757816780;0,147058823529411770;30672,6658203187944
02;972;18-64;2023;12;0;205897,21214939008;0,000000000000000000;0,0000000000000
02;972;18-64;2024;28;0;202890,50638459862;0,000000000000000000;0,0000000000000
02;972;65-79;2019;10;0;54829,00000000000;0,000000000000000000;0,0000000000000
02;972;65-79;2020;7;0;56366,00000000000;0,000000000000000000;0,0000000000000
02;972;65-79;2021;9;0;58363,00000000000;0,000000000000000000;0,0000000000000
02;972;65-79;2022;14;0;60912,00000000000;0,000000000000000000;0,0000000000000
02;972;65-79;2023;15;0;63041,00000000000;0,000000000000000000;0,0000000000000
02;972;65-79;2024;18;0;65441,00000000000;0,000000000000000000;0,0000000000000
02;972;80+;2019;3;0;22324,00000000000;0,000000000000000000;0,0000000000000
02;972;80+;2020;3;0;22701,00000000000;0,000000000000000000;0,0000000000000
02;972;80+;2021;0;0;22986,00000000000;NA;NA
02;972;80+;2022;2;0;23070,00000000000;0,000000000000000000;0,0000000000000
