Region;Type;age_group;2019;2020;2021;2022;2023;2024
ARA;Emergency;0-1;3078,00254147218;3621,16568896397;3723,27197218717;3664,74996042182;3782,72992493485;3553,15529630040
ARA;Emergency;2-4;2781,54691271803;3005,07000413533;3457,62395043971;3397,73711924979;3207,61564909354;3374,67009987765
ARA;Emergency;5-17;2152,84746271082;2342,23692766219;2396,07367084255;2428,72850138156;2372,10321011384;2431,73297608245
ARA;Emergency;18-64;1478,12669328132;1414,39424829578;1496,27986466722;1531,50595453601;1589,44519942421;1571,48316349236
ARA;Emergency;65-79;1531,73525295563;1474,81018445572;1519,93274245823;1641,86345268133;1562,51809143236;1560,55612802894
ARA;Emergency;80+;1609,16275968735;1723,07207862058;1836,84731311001;1791,18803911046;1811,64775742154;1797,79656007032
ARA;Emergency;All;12631,42162282533;13580,74913213357;14430,02951370488;14455,77302738098;14326,05983242034;14289,39422385211
ARA;Hospitalisation;All;11818,80257585362;11567,56961764685;11871,08594135988;11213,90018976011;10949,02236135240;10928,53328173821
