FINESS_Hosp,Season,n,p_masked,catchmentHosp,Inc1e5
690781810 - HOSPICES CIVILS DE LYON,22/23,9,0.03076923076923077,438960.0135443747,2.0503006475076537
690781810 - HOSPICES CIVILS DE LYON,23/24,15,0.03763109191856878,606425.817362147,2.4735094665407784
330781196 - CHU DE BORDEAUX,22/23,4,0.05821138211382114,267364.89129261265,1.4960827431984227
330781196 - CHU DE BORDEAUX,23/24,8,0.05894611491515332,271766.55483540526,2.9437029162198343
750712184 - AP-HP,22/23,18,0.052368245496998,1244851.1031243533,1.4459560629237684
750712184 - AP-HP,23/24,21,0.045345002536783356,1315788.0376462827,1.5960017418584662
