FINESS_Hosp,Season,n,p_masked,catchmentHosp,Inc1e5
690781810 - HOSPICES CIVILS DE LYON,22/23,165,0.01888772298006296,825368.2067411038,19.991077758069757
690781810 - HOSPICES CIVILS DE LYON,23/24,121,0.023277730656865517,814480.2109637649,14.856100660422689
330781196 - CHU DE BORDEAUX,22/23,80,0.02414885193982581,468087.4410362705,17.09082384754712
330781196 - CHU DE BORDEAUX,23/24,68,0.027542789691127285,432890.7453049412,15.708351526919055
750712184 - AP-HP,22/23,1032,0.017438052614343412,3159131.591494563,32.66720521482829
750712184 - AP-HP,23/24,718,0.019052681643958257,3085390.084628041,23.27096348617969
