age_group;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
0-1;0,0226526037590405;0,0221388489229891;0,0216389673579392;0,0211050262894772;0,0207894988189980;0,0203679056810334;0,0200764189246602;0,0197118103963504;0,0186786650063436;0,0177606909925505
2-4;0,0356566941722749;0,0352488329322115;0,0346273474614173;0,0338834794378732;0,0330189510346649;0,0322463038170718;0,0316123065768888;0,0309515873113631;0,0305724850150688;0,0299516899940757
5-17;0,1608281569786510;0,1607100763557580;0,1607697096342105;0,1598892743799508;0,1590856225898071;0,1585565411412371;0,1576014611613067;0,1559900078310832;0,1547519743604125;0,1532097268509029
18-64;0,5898994043505577;0,5866569095225952;0,5840740452356475;0,5826416604891966;0,5810181176854230;0,5802363393582126;0,5797647565529733;0,5791606133771646;0,5786575959623651;0,5783678036710533
65-79;0,1313023516866890;0,1343555304183922;0,1376548471218718;0,1407666045724421;0,1439344839677254;0,1471292521405892;0,1503415494168955;0,1531873067686085;0,1556083336191882;0,1581787298542277
80+;0,0596607890527870;0,0608898018480539;0,0612350831889137;0,0617139548310601;0,0621533259033816;0,0614636578618560;0,0606035073672755;0,0609986743154301;0,0617309460366219;0,0625313586371898
ALL;0,9999999999999999;0,9999999999999999;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000
