FINESS_Hosp;age_group;RegCode;DepCode;Year;n_Hosp;n;Pop;pHosp;catchmentHosp
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2018;109;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2018;93;6683;10263,70329570636;0,013915906030225947;142,8287305851700
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2018;52;6411;8824,60041304250;0,008111059117142411;71,5768556353470
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2018;43;8016;12891,54669422111;0,005364271457085829;69,1537559694995
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2018;26;2780;4234,62368813784;0,009352517985611510;39,6043942056057
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2018;23;4086;5874,47796170244;0,005628976994615761;33,0673013018003
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2018;23;3373;5026,47639669073;0,006818855618144086;34,2748168170432
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2018;19;8001;12052,77507821632;0,002374703162104737;28,6217630903775
690781810 - HOSPICES CIVILS DE LYON;0-1;27;21;2018;18;6804;10461,37803693811;0,002645502645502645;27,6756032723230
690781810 - HOSPICES CIVILS DE LYON;0-1;27;70;2018;13;3062;4549,21111679071;0,004245591116917048;19,3140903064269
690781810 - HOSPICES CIVILS DE LYON;0-1;93;84;2018;11;8079;12238,52780198080;0,001361554647852457;16,6634244116585
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2019;12898;31201;45689,26735360130;0,413384186404281928;18887,2206123761898
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2019;1099;18156;27965,39949921415;0,060530953954615552;1692,7723094093606
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2019;979;8868;14988,08470477213;0,110396932792061350;1654,6385798344518
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2019;250;7612;10708,24212601835;0,032842879663688915;351,6895075544649
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2019;222;13468;18969,32468947422;0,016483516483516484;312,6811762001245
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2019;212;11294;16478,02721133855;0,018771028864884010;309,3095244203802
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2019;157;4290;5917,16734253853;0,036596736596736595;216,5490146336943
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2019;88;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2019;86;6693;9997,81358927068;0,012849245480352607;128,4643610753441
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2019;51;6272;8684,42274499703;0,008131377551020409;70,6163201522399
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2019;37;3383;4811,41660543964;0,010937038131835650;52,6226468818406
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2019;24;7880;12701,35687011918;0,003045685279187817;38,6843356450330
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2019;17;7650;11786,74249785030;0,002222222222222222;26,1927611063340
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2019;12;4099;5647,73415356129;0,002927543303244694;16,5339862997647
690781810 - HOSPICES CIVILS DE LYON;0-1;11;75;2019;12;32304;41568,32127091101;0,000371471025260030;15,4414269208436
690781810 - HOSPICES CIVILS DE LYON;0-1;93;84;2019;12;7693;11992,46356521754;0,001559859612634863;18,7065595713779
690781810 - HOSPICES CIVILS DE LYON;0-1;93;13;2019;11;33488;45313,51935928689;0,000328475871954133;14,8843977828522
690781810 - HOSPICES CIVILS DE LYON;0-1;27;21;2019;11;6729;10233,08786967388;0,001634715410908010;16,7281864417317
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2019;11;2714;4130,54128172794;0,004053058216654385;16,7413242811376
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2020;11955;28596;44317,56477873778;0,418065463701216944;18527,6432693317292
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2020;1020;17031;27904,93976848730;0,059890787387704772;1671,2488147411807
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2020;978;8179;14914,70252520478;0,119574520112483193;1783,4183970718032
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2020;263;6657;10449,13943978870;0,039507285564067900;412,8171357464968
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2020;173;12278;19399,97003330266;0,014090242710539175;273,3502863464212
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2020;149;10102;16202,44450164463;0,014749554543654722;238,9788389175461
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2020;137;3719;5858,00895492980;0,036837859639688088;215,7965116497397
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2020;100;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2020;86;6099;9760,64372961294;0,014100672241351041;137,6316380958703
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2020;60;5515;8831,83133496506;0,010879419764279238;96,0852003803995
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2020;41;2998;4842,26528374457;0,013675783855903937;66,2217733934381
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2020;27;7195;12615,85321232836;0,003752605976372481;47,3423261616214
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2020;26;7065;11701,33618315551;0,003680113234253362;43,0622421460783
690781810 - HOSPICES CIVILS DE LYON;0-1;27;21;2020;14;6548;10109,52791944948;0,002138057422113622;21,6147512022439
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2020;12;3515;5518,01107336152;0,003413940256045519;18,8381601366538
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2020;11;2384;4131,74698351268;0,004614093959731544;19,0642687997649
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2021;12317;29537;42825,31193310325;0,417002403764769602;17858,2580180801269
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2021;1056;17803;27580,21937586048;0,059315845643992587;1635,9440353259936
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2021;1013;9199;15096,82637686584;0,110120665289705405;1662,4725643836391
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2021;243;7212;10458,76604502242;0,033693843594009981;352,3960273073278
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2021;225;13190;19168,92024471167;0,017058377558756634;326,9906789279854
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2021;178;10420;15943,06624711120;0,017082533589251440;272,3479646819380
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2021;129;3950;5963,16512408948;0,032658227848101268;194,7464053183652
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2021;122;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2021;72;6627;9677,56199280140;0,010864644635581712;105,1432719905992
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2021;69;6084;8661,76445413542;0,011341222879684419;98,2350012056778
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2021;29;3184;4849,42674042254;0,009108040201005025;44,1687737035973
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2021;26;7669;12606,88362964801;0,003390272525753032;42,7407712049613
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2021;18;2642;4008,99363964364;0,006813020439061317;27,3133556069589
690781810 - HOSPICES CIVILS DE LYON;0-1;93;84;2021;16;8427;11712,64113181324;0,001898659072030379;22,2383123423534
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2021;15;4013;5555,91702550845;0,003737851981061550;20,7671954604104
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2021;15;7333;11546,56752507250;0,002045547524887495;23,6190526218584
690781810 - HOSPICES CIVILS DE LYON;0-1;27;70;2021;13;2720;4270,29826563432;0,004779411764705883;20,4095137695758
690781810 - HOSPICES CIVILS DE LYON;0-1;93;13;2021;12;32937;42948,02832782776;0,000364331906366700;15,6473370353685
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2022;11672;28207;41962,65337009540;0,413797993405892128;17364,0617625324703
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2022;1100;17936;26911,76508097966;0,061329170383586082;1650,4762259744439
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2022;1021;9342;15301,41275225069;0,109291372297152647;1672,3123977786297
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2022;230;7336;10618,35313671860;0,031352235550708832;332,9091087030097
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2022;218;13227;19396,80800697163;0,016481439479851819;319,6873172692081
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2022;171;10719;15889,07711306184;0,015952980688497060;253,4781403427162
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2022;124;4021;6093,37639947478;0,030838099975130564;187,9081505931043
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2022;115;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2022;73;6508;9758,02494161173;0,011216963736939152;109,4554119142066
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2022;53;6035;8569,87868931741;0,008782104391052195;75,2615692682390
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2022;21;7407;11347,01033492199;0,002835155933576347;32,1705436794062
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2022;21;3124;4754,13864925875;0,006722151088348271;31,9580382952733
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2022;20;2527;4110,93165553551;0,007914523149980214;32,5360637557223
690781810 - HOSPICES CIVILS DE LYON;0-1;93;84;2022;17;8599;11275,15448115460;0,001976974066751948;22,2906880078647
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2022;16;3883;5446,28530554789;0,004120525366984291;22,4415567573439
690781810 - HOSPICES CIVILS DE LYON;0-1;27;21;2022;11;6680;10109,92442006176;0,001646706586826347;16,6480791348322
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2023;11394;26360;40864,44138375418;0,432245827010622141;17663,4842612479188
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2023;1062;16236;26401,78295171657;0,065410199556541024;1726,9458915202633
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2023;1020;8546;15154,04291588919;0,119354083781886264;1808,6969078173383
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2023;240;6683;10473,09371767966;0,035912015561873407;376,1099045702707
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2023;196;12025;19226,86946454328;0,016299376299376299;313,3859804615786
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2023;186;9879;15739,59927390642;0,018827816580625569;296,3422881816575
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2023;131;3598;5996,79743928214;0,036409116175653143;218,3380946486827
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2023;126;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2023;84;5963;9560,32613235845;0,014086869025658226;134,6750620691111
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2023;56;5213;8488,42728429368;0,010742374832150393;91,1858676233351
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2023;28;6846;10968,38490954407;0,004089979550102250;44,8604699776854
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2023;24;2835;4638,92920706942;0,008465608465608466;39,2713583667252
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2023;24;6875;12088,91800661360;0,003490909090909091;42,2013137685420
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2023;18;2322;3997,73526819075;0,007751937984496124;30,9901958774477
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2023;11;3654;5307,35832539075;0,003010399562123700;15,9772691787899
690781810 - HOSPICES CIVILS DE LYON;0-1;27;58;2023;11;1996;3115,31545424850;0,005511022044088177;17,1685721426520
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2024;11728;26374;38426,71074583915;0,444680367028133794;17087,6038381436883
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2024;1146;16394;25170,28817808425;0,069903623276808588;1759,4943425695103
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2024;1042;8307;14481,03172468345;0,125436378957505729;1816,4481831130556
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2024;232;6486;9909,13225525834;0,035769349367869255;354,4432135707576
